scan,param_name,param_value,H0_km_s_Mpc,delta_H0_pct,theta_final_rad,theta_final_deg,V_sigma_GeV4,V_over_rhoL,m_sigma_GeV,m_sigma_over_H0,converged,iterations
theta_i,theta_i,0.5,0.2822,-99.5812,0.00255489,0.1464,8.819724e-53,0.000004,1.774116e-42,N/A,False,10
theta_i,theta_i,1.0,1.3448,-98.0048,-0.00084969,-0.0487,9.755127e-54,0.000000,1.774116e-42,N/A,False,10
theta_i,theta_i,1.5,41.2340,-38.8219,0.85001560,48.7023,9.188715e-48,0.367549,1.774116e-42,N/A,False,30
theta_i,theta_i,2.0,67.4897,0.1330,1.71201006,98.0910,3.082676e-47,1.233070,1.774116e-42,1.2323,True,15
theta_i,theta_i,2.5,81.0300,20.2226,2.36093408,135.2716,4.622212e-47,1.848885,1.774116e-42,1.0264,True,23
theta_i,theta_i,3.0,86.8066,28.7931,2.97094222,170.2225,5.365420e-47,2.146168,1.774116e-42,0.9581,True,22
theta_i,theta_i,3.1,87.0755,29.1922,3.09148498,177.1290,5.401281e-47,2.160512,1.774116e-42,0.9551,True,22
f_over_mpl,f/M_Pl,0.05,0.2822,-99.5813,-0.00156993,-0.0900,3.330192e-53,0.000001,8.515755e-42,N/A,False,10
f_over_mpl,f/M_Pl,0.1,1.0693,-98.4135,-0.01490695,-0.8541,3.002473e-51,0.000120,4.257877e-42,N/A,False,10
f_over_mpl,f/M_Pl,0.15,10.7290,-84.0816,0.21452721,12.2915,6.194524e-49,0.024778,2.838585e-42,N/A,False,30
f_over_mpl,f/M_Pl,0.2,63.7500,-5.4155,1.54491680,88.5172,2.632409e-47,1.052964,2.128939e-42,1.5655,True,30
f_over_mpl,f/M_Pl,0.24,67.4897,0.1330,1.71201006,98.0910,3.082676e-47,1.233070,1.774116e-42,1.2323,True,15
f_over_mpl,f/M_Pl,0.3,69.9036,3.7146,1.82680472,104.6682,3.386625e-47,1.354650,1.419292e-42,0.9518,True,22
f_over_mpl,f/M_Pl,0.4,71.5047,6.0901,1.90664950,109.2430,3.592958e-47,1.437183,1.064469e-42,0.6979,True,22
f_over_mpl,f/M_Pl,0.5,72.1801,7.0921,1.94134717,111.2310,3.680930e-47,1.472372,8.515755e-43,0.5531,True,21
f_over_mpl,f/M_Pl,0.75,72.8114,8.0287,1.97438440,113.1239,3.763600e-47,1.505440,5.677170e-43,0.3655,True,21
f_over_mpl,f/M_Pl,1.0,73.0245,8.3450,1.98567704,113.7709,3.791596e-47,1.516638,4.257877e-43,0.2733,True,21
